nb,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,ClassNum
0,437.78,437.8,437.6,437.6,437.18,437.68,436.15,436.18,435.63,436.1,436.33,436.48,437.25,437.9,438.4,435.33,428.96,417.22,401.16,385.35,367.37,353.93,343.47,339.3,348.84,373.21,406.01,452.16,520.25,594.17,670.4,741.88,810.51,872.35,921.13,958.99,992.08,1016.09,1023,1023,1023,1009.32,907.02,804.72,702.42,600.12,497.82,395.52,293.22,190.92,88.62,0,0,0,0,0,12.79,44.34,74.56,114.09,179.5,247.41,319.94,396.44,621.99,621.62,621.79,621.09,620.72,620.57,620.54,618.99,618.07,616.15,613.95,615.87,618.99,623.86,623.94,621.49,613.55,601.71,594.92,596.92,598.79,593.07,568.99,538.27,506.55,520.32,545.39,586.28,626.44,661.65,701.36,746.07,807.28,873.62,945.2,974.22,997.62,1010.46,1018.3,1023,1023,1023,1023,1023,934.81,848.12,848.12,848.12,775.67,673.37,571.07,468.77,366.47,264.17,261.07,294.56,254.33,217.59,262.19,359.65,461.95,564.25,666.55,768.85,18.71,18.13,17.88,17.78,17.63,17.51,17.03,17.23,17.76,18.36,18.21,19.33,19.66,19.76,20.11,20.01,20.33,18.81,16.71,14.36,12.44,9.89,7.92,5.87,3.72,2.17,0.57,0,0,0,0,0,0,0,0,7.32,64.81,167.11,269.41,371.71,474.01,576.31,678.61,780.91,883.21,963.63,964.86,896.67,817.28,723.82,624.66,536.05,458.6,390.82,334.25,301.01,293.51,308.95,341.59,388.74,441.12,477.66,497.94,506.68,0
1,462.15,462.38,461.15,460.9,460.3,458.61,455.38,452.14,446.42,440.37,432.78,423.02,413.47,406.61,393.19,391.1,396.34,412.73,450.56,510.03,573.94,639.78,706.19,769.1,839.06,899,952.92,995.66,1019.81,1023,1023,920.7,818.4,716.1,613.8,511.5,409.2,306.9,204.6,102.3,0,0,0,0,0,0,16.01,50.75,108.65,177.41,244.69,325.19,415.25,515.62,614.35,701.22,769.15,816.66,839.28,844.4,854.22,853.89,841.78,822.25,652.81,652.69,652.04,651.76,648.52,641.47,631.06,618.47,603.11,587.33,572.54,558.55,551.14,544.99,555.06,565.15,575.99,615.85,668.52,721.22,773.19,824.54,870.15,913.41,943.55,977.02,1013.48,1023,1023,1023,1023,1023,1023,955.09,852.79,759.36,689.97,587.67,485.37,383.07,280.77,178.47,76.17,88.26,172.01,255.02,322.01,424.31,526.61,628.91,731.21,833.51,935.81,991.63,1010.19,1020.6,1023,1021.68,992.18,968.25,965.26,965.26,965.26,965.26,24.78,23.9,23.95,23.43,23.1,21.58,19.13,16.81,14.36,11.74,9.42,7.64,5.27,3.05,1.07,0.05,0,0,0,0,0,0,0,0.35,25.25,112.24,214.54,316.84,419.14,521.44,623.74,726.04,828.34,930.29,1007.69,1023,984.81,929.59,870.82,808.48,737.23,659.53,579.73,503.28,432.18,367.87,346.66,343.81,347.64,352.31,366.27,381.6,395.29,405.65,404.08,377.73,339.99,295.76,248.41,203.78,158.77,118.83,82.64,46.43,0
2,454.58,451.91,447.99,442.05,433.21,424.66,419.84,411.45,391.77,388.92,399.06,426.41,477.74,540.1,605.34,670.17,731.61,797.22,874.07,934.69,982.29,1013.79,1023,1023,1017.86,936.84,834.54,732.24,629.94,527.64,425.34,323.04,220.74,118.44,21.28,0,0,0,0,0,0,0,43.74,105.88,175.73,269.81,372.11,474.41,576.71,679.01,781.31,883.61,939.51,970.78,1003.22,1011.44,1008.94,1007.64,1004.37,994.86,980.25,957.17,931.14,908.99,653.66,646.24,633.26,614.25,595.32,575.44,562.4,553.88,547.51,545.49,566.37,603.21,651.51,705.54,759.88,815.4,864.4,909.89,954.59,995.5,1016.48,1023,1023,1023,1023,1023,1023,1023,994.2,945.45,911.76,831.59,729.29,626.99,524.69,422.39,320.09,221.03,170.73,149.65,163.04,243.21,345.51,447.81,550.11,652.41,754.71,853.77,932.86,1002.69,1023,1023,1023,1023,1023,1023,1023,1014.73,1009.61,1008.79,1006.72,1003.54,1001.52,995.5,27.55,25.58,22.4,19.58,16.13,13.06,10.26,7.69,5.02,2.87,1.02,0,0,0,0,0,0,21.4,71.21,161.89,264.19,366.49,468.79,571.09,673.39,775.69,877.99,958.89,1011.39,1023,990.81,929.12,850.69,765.28,682.46,608.56,546.97,497.71,456.25,423.66,439.82,492.09,562.77,641.6,717.57,781.36,818.47,831.09,826.67,800.97,744.97,680.26,618.1,558.15,496.12,426.18,358.67,296.46,240.24,196.23,165.96,137.79,105.4,69.63,0
3,447.57,442.87,434.38,426.16,417.9,409.1,405.93,405.51,394.82,391.52,404.66,431.43,477.84,543.47,609.28,675.64,736.53,794.48,862.41,923.15,968.73,1003.82,1023,1023,1023,1023,920.7,818.4,716.1,613.8,511.5,409.2,306.9,204.6,102.3,0,0,0,0,0,0,13.87,44.68,80.65,149.03,230.8,322.24,424.54,526.84,629.14,731.44,813.88,868.78,899.77,888.98,863.86,829.99,783.96,749.12,728.79,704.56,685.73,673.2,675.17,655.13,646.14,637.33,625.79,611.58,594.79,576.99,556.31,538.37,540.17,573.99,618.62,663.73,710.78,760.21,812.68,866.53,923.05,977.92,1014.63,1023,1023,1023,1023,1023,1023,1023,1023,1006.87,904.57,824.14,777.02,674.72,572.42,470.12,367.82,265.52,163.22,101.18,156.02,208.85,233.85,311.72,408.15,510.45,612.75,715.05,817.35,895.52,942.98,970.58,992.7,1017.13,1023,977.49,917.75,900.39,900.39,900.39,900.39,883.94,864.58,828.09,790.4,28.07,27.8,25.62,22.68,19.81,16.53,13.44,10.71,7.62,5.24,3.37,0.8,0,0,0,0,0,0,8.14,59.02,161.32,263.62,365.92,468.22,570.52,672.82,775.12,877.42,971.58,1023,1023,992.18,915.08,827.59,738.5,641.15,538.85,442.84,364.07,299.13,240.89,216.64,244.49,291.07,345.41,407.88,465.72,505.96,516.87,513.37,489.15,445.51,392.87,331.48,263.92,196.51,138.66,92.13,57.69,23.83,4,0.4,0,0,0
4,435.93,431.51,424.84,418.99,413.8,411.6,413.77,414.05,413.47,421.79,451.21,501.84,566.55,630.71,694.35,754.97,811.86,870.55,929.84,980.45,1011.17,1023,1023,1023,1023,936.24,833.94,731.64,629.34,527.04,424.74,322.44,220.14,117.84,15.54,0,0,0,0,0,2.48,25.38,68.64,132.62,230.33,332.63,434.93,537.23,639.45,731.91,804.84,861.69,908.12,933.27,924.67,908.59,896.75,890.48,884.96,884.99,897.15,901.9,891.66,876.75,648.37,638.03,623.69,611.25,595.24,577.91,561,542.17,527.96,540.87,585.15,632.26,682.61,730.71,782.36,835.96,889.36,944.4,996.3,1023,1023,1023,1023,1023,1023,1023,1023,969.4,867.1,779.31,726.76,624.46,522.16,419.86,317.56,215.26,112.96,96.96,135.57,175.45,218.84,321.14,423.44,525.74,628.04,730.34,832.64,902.24,965.93,1013.83,1023,1023,1023,1023,1023,1023,1023,1023,1023,1018.55,1013.93,1013.56,1013.56,1009.79,27.87,26.55,23.98,20.93,17.61,14.54,11.54,8.37,5.39,3.3,1.67,0.17,0,0,0,0,0,7.12,56.72,159.02,261.32,363.62,465.92,568.22,670.52,772.82,875.12,970.3,1023,1014.98,968.4,895.7,810.71,719.12,627.41,543.17,474.39,433.48,411,403.51,439.8,511.97,596.97,688.55,760.61,798.99,806.21,773.04,720.4,660.7,592.65,506.7,412.62,314.84,237.37,184.72,148.78,123.63,96.46,69.36,45.41,29.57,21.35,16.83,0
5,453.56,451.21,446.82,440.8,434.1,427.39,419.82,416.85,417.95,419.07,421.39,424.44,440,462.53,489.25,527.41,582.03,641.95,697.5,753.39,808.76,864.61,910.04,950.35,987.34,1012.84,1023,1023,1023,965.31,863.01,760.71,658.41,556.11,453.81,351.51,249.21,146.91,44.61,0,0,0,0,0,0,10.04,35.52,78.43,139.54,214.64,299.94,387.6,480.88,565.98,659.08,739.41,806.89,857.32,892.58,918.11,923.58,916.96,899.37,886.29,673.99,667.82,659.31,649.94,640.75,630.06,617.47,608.08,599.06,590.8,586.55,597.69,609.3,645.94,689.4,733.18,777.96,820.52,864.03,907.94,950.07,980.32,1011.86,1019.43,1019.43,1020.43,1022.03,1023,1023,1023,1023,1023,920.7,818.4,762.3,704.69,602.39,500.09,397.79,295.49,193.19,105.3,164.89,255.3,277.68,297.66,376.63,478.93,581.23,683.53,785.83,873.72,916.43,928.32,962.03,999.67,1023,1023,1023,1023,1017.71,1001.92,980.92,966.03,32.64,31.34,30.07,28.5,26.1,23.03,19.03,15.36,12.11,9.39,6.69,4.7,2.9,1.4,0.15,0,0,0,0,0,0,1.25,33.52,113.64,215.94,318.24,420.54,522.84,625.14,727.44,829.74,930.79,1000.82,1023,1010.79,959.09,887.61,814.48,732.96,652.34,583.48,528.11,478.78,430.75,395.31,402.91,434.3,470.24,517.49,562.97,593.92,599.11,591.47,576.74,555.76,525.36,478.63,421.31,355.98,288.82,224.43,172.31,126.98,87.44,0
6,461.15,456.91,450.36,442.7,431.18,423.26,412.43,396.57,391.3,387.1,390.47,396.99,414.52,439.15,481.93,540.53,607.01,678.52,739.86,801.15,856.34,910.16,955.12,994.13,1018.18,1023,1023,920.7,818.4,716.1,613.8,511.5,409.2,306.9,204.6,102.3,0,0,0,0,0,0,0,6.35,28.48,66.31,113.59,168.41,241.49,322.11,401.51,495.84,594.42,683.29,759.91,815.68,855.17,889.26,902.95,909.59,924.97,924.15,922.1,920.33,654.48,647.79,637.5,626.46,614.3,597.87,579.36,559.78,536.67,542.29,564.25,593.52,628.81,665.87,714.65,767.1,818.17,858.09,907.66,942.23,962.18,974.7,985.16,994.85,994.85,994.85,997.52,1012.68,1023,1013.51,911.21,819.02,819.02,819.02,716.72,614.42,512.12,409.82,307.52,216.61,236.57,274.68,233.47,202.23,299.08,401.38,503.68,605.98,708.28,808.68,891.03,945.1,986.31,1017.55,1023,1023,1023,1023,1023,1023,1023,1023,1009.81,989.86,27.17,25.43,22.2,19.28,16.41,13.81,10.89,7.99,6.12,5,2.97,1.75,1.6,1.6,1.6,1.6,1.6,1.6,0.67,0,30.1,132.4,234.7,337,439.3,541.6,643.9,746.2,848.5,950.8,1023,1023,1023,1011.61,962.43,891.83,805.44,703.14,600.84,498.54,400.66,307.95,220.48,156.45,144.56,164.79,207.45,268.51,332.5,398.71,460.55,512.07,549.69,559.85,543.52,511.55,477.66,445.01,403.83,353.13,294.79,236.19,185.24,152.45,0
7,443.25,432.66,415.25,396.99,379.38,370.19,367.62,369.22,373.74,390.47,410.3,440.67,479.66,524.37,578.26,635.86,695.3,750.87,805.14,848.52,891.83,929,964.24,994.56,1014.79,1023,1023,1023,1023,1023,920.7,818.4,716.1,613.8,511.5,409.2,306.9,204.6,102.3,0,0,0,0,0,0,4.15,33.1,88.07,169.79,262.45,364.75,467.05,569.35,671.65,773.95,862.39,915.86,941.68,944.48,935.79,916.48,897.03,876.72,855.07,648.47,633.23,617.72,604.23,596.07,591.07,582.03,568.24,576.04,584.93,600.79,627.74,658.73,696.12,730.64,766.43,810.78,860.78,893.08,926.42,956.81,979.49,998.8,1009.89,1018.68,1022.8,1023,1023,1023,1023,1023,1023,920.7,818.4,716.1,640.9,540.6,438.3,336,233.7,131.4,35.34,69.76,131.72,227.63,302.83,403.13,505.43,607.73,710.03,812.33,908.39,976.27,1016.61,1023,1023,1023,1023,1023,1018.8,1010.34,1010.34,1010.34,1010.34,25.55,22.55,19.71,16.58,14.01,12.19,10.51,7.79,5.52,3.9,3.75,4.4,8.89,15.46,20.26,24.45,31.17,43.41,57.29,74.28,98.95,136.89,208.8,304.53,401.48,498.26,592.95,682.51,770.75,856.06,933.69,997.1,1023,1023,1023,989.78,915.23,824.92,723.87,621.57,519.27,419.81,343.76,289.89,255.18,267.99,342.54,432.85,533.9,636.2,729.56,796.17,822.45,811.83,774.74,713.75,626.89,532.78,432.95,330.65,237.29,167.84,115.31,77.5,0
8,453.64,444.59,431.03,416.62,408.03,403.01,399.39,400.69,405.01,421.67,446.62,481.88,524.67,579.76,639.88,701.09,760.91,816.26,869.13,910.86,946.88,976.75,1003.32,1018.66,1023,1023,1023,1023,920.7,818.4,716.1,613.8,511.5,409.2,306.9,204.6,102.3,0,0,0,0,0,0,0,18.44,51,91.69,164.34,257.23,355.36,457.66,559.96,659.76,751.52,830.27,897,954.9,980,986.31,984.44,980.42,974.68,971.88,976.22,646.07,632.26,617.97,603.53,587.28,571.09,551.41,535.03,523.24,536.72,564.37,612.5,661.43,710.9,762.58,814.43,870.22,923.25,974.65,1004.44,1022.77,1023,1023,1023,1023,1023,1023,1023,1023,1023,920.7,818.4,737.83,737.83,637.3,535,432.7,330.4,228.1,125.8,170.63,245.33,316.71,313.14,413.67,515.97,618.27,720.57,822.87,925.17,982.64,1010.24,1019.43,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1013.96,25.95,22.65,19.18,16.08,12.89,9.99,6.99,3.92,3.62,1.82,2.95,5.42,8.32,9.37,9.37,9.37,9.37,11.41,14.56,30.05,63.91,154.05,253.45,354.7,457,559.3,661.6,761.86,859.73,946.55,1013.31,1023,1023,999.95,947.92,879.29,798.12,703.64,606.13,519.72,454.46,405.88,366.67,352.83,370.16,422.04,503.21,597.69,695.2,772.59,808.21,804.21,776.67,741.75,698.97,635.3,549.11,454.73,355.45,263.24,194.83,148.68,113.86,83.37,0
9,454.46,436.28,417.6,403.98,398.54,398.49,398.84,402.83,408.43,423.11,447.94,489.33,547.89,616.95,677.59,732.44,786.76,838.31,889.61,933.97,975.72,1007.67,1023,1023,1023,1023,1012.14,909.84,807.54,705.24,602.94,500.64,398.34,296.04,193.74,91.44,0,0,0,0,0,0,0,6.1,52.83,109.75,193.41,295.71,398.01,500.31,602.61,704.91,794.55,872.35,912.91,944.41,948.35,921,894.25,870.98,848.77,831.12,824.1,822.45,644.42,629.78,617.47,606.53,595.92,581.31,558.9,521.99,488.07,482,510.78,559.68,606.16,650.74,695.77,745.32,804.39,878.69,951.64,1003.02,1023,1023,1023,1023,1023,1023,1023,1023,1023,1001.75,899.45,797.15,708.98,644.19,541.89,439.59,337.29,234.99,132.69,51.65,51.65,105.77,193.93,258.72,361.02,463.32,565.62,667.92,770.22,872.52,974.82,1023,1023,1023,1023,1023,1023,1018.05,1009.24,1004.47,1002.14,999.07,991.51,975.72,25.2,21.65,18.13,15.01,12.94,10.89,9.62,8.77,14.39,35.27,70.13,107.3,142.11,173.06,202.45,232.2,268.36,316.64,374.58,437.15,504.58,569.72,637.2,708.56,780.31,851.72,916.53,968.73,1005.47,1023,1023,1023,1023,969.55,881.49,779.19,676.89,574.59,472.29,369.99,281.1,226.38,198.31,234.92,322.98,425.28,527.58,629.88,724.07,789.15,823.22,807.54,754.46,677.64,581.81,488.1,391.27,288.97,194.78,129.7,82.72,55.02,39.41,38.74,0
